model,train_source,test_domain,macro_f1_mean,macro_f1_std,fnr_mean,fpr_mean,params,runs
autogran,10m,20m,1.0,0.0,0.0,0.0,582,3
autogran,10m,5m,0.8519565411243554,0.03540966868955754,0.3113529662825438,0.0,582,3
autogran,20m,10m,0.991890293316473,0.0049723963402739605,0.018480955600631056,0.0,582,3
autogran,20m,5m,0.7273376239846069,0.05337561396271163,0.5358514724711908,0.0,582,3
autogran,5m,10m,0.9785275828994305,0.037191317379497164,0.0480054090601758,0.0,582,3
autogran,5m,20m,0.9856160609504433,0.024913713246806142,0.031827956989247314,0.0,582,3
dgcnn,10m,20m,0.9993276811676232,0.0006655468225610756,0.0012903225806451613,0.00016903313049357674,1799938,3
dgcnn,10m,5m,0.4900359414137218,0.31205439804684143,0.10371318822023047,0.6668373442566992,1799938,3
dgcnn,20m,10m,0.7762993226824807,0.33572247986548753,0.021636240703177823,0.3231913455037187,1799938,3
dgcnn,20m,5m,0.4106721507162812,0.1784188058658615,0.07789159197609902,0.8334186721283495,1799938,3
dgcnn,5m,10m,0.8278148783141367,0.1074473255415719,0.20396664412891594,0.12187288708586881,1799938,3
dgcnn,5m,20m,0.4511163941145848,0.2520428807172124,0.17182795698924733,0.6666666666666666,1799938,3
globalstats,10m,20m,0.8807020721580424,0.19744725936122912,0.007956989247311828,0.19743069641649766,4162,3
globalstats,10m,5m,0.3710698679059928,0.022867272410865443,0.9869825010670081,0.0,4162,3
globalstats,20m,10m,0.9713366152820234,0.006630780188048299,0.06490872210953347,0.0,4162,3
globalstats,20m,5m,0.4521280799087239,0.03099089202526387,0.9063166880068289,0.0,4162,3
globalstats,5m,10m,0.3,0.0,0.0,1.0,4162,3
globalstats,5m,20m,0.3055993690851735,0.0,0.0,1.0,4162,3
pointnet,10m,20m,0.9999039716397333,0.00016632599894941057,0.00021505376344086021,0.0,1608715,3
pointnet,10m,5m,0.32700926742985575,0.03351044130606756,0.0,0.9819081754565625,1608715,3
pointnet,20m,10m,0.482376574936277,0.0031344650999977474,0.8807752986251972,0.0,1608715,3
pointnet,20m,5m,0.8194370921279793,0.09017374687321428,0.3664105847204439,0.002218808670421574,1608715,3
pointnet,5m,10m,0.7402197814876516,0.11788725112384205,0.4586432274059049,0.054090601757944556,1608715,3
pointnet,5m,20m,0.6508549239652511,0.15674676881237692,0.1806451612903226,0.4744759972954699,1608715,3
pointnet2_ref,10m,20m,0.9965421551027935,0.001443194917428838,0.004516129032258064,0.002535496957403651,1461890,3
pointnet2_ref,10m,5m,0.7752185099473067,0.04741232239880387,0.4541186513017499,0.0,1461890,3
pointnet2_ref,20m,10m,0.9992106406825408,0.0013672104432672352,0.001803020058598152,0.0,1461890,3
pointnet2_ref,20m,5m,0.9249705430953142,0.09955190922721611,0.15685019206145967,0.0,1461890,3
pointnet2_ref,5m,10m,0.9212580805860972,0.13077543738490763,0.0024791525805724587,0.13488843813387424,1461890,3
pointnet2_ref,5m,20m,0.852040896525155,0.1663910738546305,0.07161290322580645,0.19743069641649766,1461890,3
pointnext,10m,20m,0.997017535247655,0.00466680248599655,0.006666666666666667,0.0,750338,3
pointnext,10m,5m,0.9588166949980385,0.023904676275122043,0.09026888604353393,0.0,750338,3
pointnext,20m,10m,0.9805123284640557,0.01548195702646587,0.0024791525805724587,0.03177822853279243,750338,3
pointnext,20m,5m,0.8337786623968181,0.1404244027597223,0.016645326504481434,0.280252602833248,750338,3
pointnext,5m,10m,0.7313092250791056,0.10576348471836361,0.13590263691683568,0.34516565246788367,750338,3
pointnext,5m,20m,0.7691902733450829,0.08686389758365141,0.21591397849462365,0.23208248816768084,750338,3
rangenet,10m,20m,0.5294866775188548,0.35942751139970486,0.0410752688172043,0.656524678837052,3799634,3
rangenet,10m,5m,0.4733074673916589,0.2869063566957818,0.1342296201451131,0.6666666666666666,3799634,3
rangenet,20m,10m,0.6204849158408295,0.3294015279307802,0.0,0.5764029749830967,3799634,3
rangenet,20m,5m,0.3986131898755474,0.26700039006433884,0.35317968416559964,0.6666666666666666,3799634,3
rangenet,5m,10m,0.3,0.0,0.0,1.0,3799634,3
rangenet,5m,20m,0.3055993690851735,0.0,0.0,1.0,3799634,3
