setting,voxel_size,context_radius,context_side,train_source,test_domain,macro_f1_mean,fnr_mean,fpr_mean
v0p10_r1,0.1,1,3,10m,20m,1.0,0.0,0.0
v0p10_r1,0.1,1,3,10m,5m,0.9744907215896308,0.056338028169014086,0.0
v0p10_r1,0.1,1,3,20m,10m,1.0,0.0,0.0
v0p10_r1,0.1,1,3,20m,5m,0.9744907215896308,0.056338028169014086,0.0
v0p10_r1,0.1,1,3,5m,10m,0.5584569101328771,0.0,0.7175456389452333
v0p10_r1,0.1,1,3,5m,20m,1.0,0.0,0.0
v0p20_r1,0.2,1,3,10m,20m,1.0,0.0,0.0
v0p20_r1,0.2,1,3,10m,5m,0.9680566056940123,0.07042253521126761,0.0
v0p20_r1,0.2,1,3,20m,10m,1.0,0.0,0.0
v0p20_r1,0.2,1,3,20m,5m,0.9706917954776627,0.0646606914212548,0.0
v0p20_r1,0.2,1,3,5m,10m,1.0,0.0,0.0
v0p20_r1,0.2,1,3,5m,20m,1.0,0.0,0.0
v0p20_r2,0.2,2,5,10m,20m,1.0,0.0,0.0
v0p20_r2,0.2,2,5,10m,5m,0.97973680326886,0.04481434058898848,0.0
v0p20_r2,0.2,2,5,20m,10m,1.0,0.0,0.0
v0p20_r2,0.2,2,5,20m,5m,0.9852576439812922,0.03265044814340589,0.0
v0p20_r2,0.2,2,5,5m,10m,1.0,0.0,0.0
v0p20_r2,0.2,2,5,5m,20m,1.0,0.0,0.0
v0p20_r3,0.2,3,7,10m,20m,1.0,0.0,0.0
v0p20_r3,0.2,3,7,10m,5m,0.987577329878377,0.027528809218950064,0.0
v0p20_r3,0.2,3,7,20m,10m,1.0,0.0,0.0
v0p20_r3,0.2,3,7,20m,5m,0.987577329878377,0.027528809218950064,0.0
v0p20_r3,0.2,3,7,5m,10m,1.0,0.0,0.0
v0p20_r3,0.2,3,7,5m,20m,1.0,0.0,0.0
v0p30_r1,0.3,1,3,10m,20m,1.0,0.0,0.0
v0p30_r1,0.3,1,3,10m,5m,0.987577329878377,0.027528809218950064,0.0
v0p30_r1,0.3,1,3,20m,10m,1.0,0.0,0.0
v0p30_r1,0.3,1,3,20m,5m,0.9618906835791647,0.08386683738796415,0.0
v0p30_r1,0.3,1,3,5m,10m,1.0,0.0,0.0
v0p30_r1,0.3,1,3,5m,20m,1.0,0.0,0.0
v0p40_r1,0.4,1,3,10m,20m,1.0,0.0,0.0
v0p40_r1,0.4,1,3,10m,5m,0.9855477592489408,0.03201024327784891,0.0
v0p40_r1,0.4,1,3,20m,10m,1.0,0.0,0.0
v0p40_r1,0.4,1,3,20m,5m,0.9872875226039783,0.028169014084507043,0.0
v0p40_r1,0.4,1,3,5m,10m,1.0,0.0,0.0
v0p40_r1,0.4,1,3,5m,20m,1.0,0.0,0.0
